"City","latitude","longitude"
"Halifax",44.648618,-63.5859487
"Halifax - Lake Major",NA,NA
"Halifax Downtown",44.6461752,-63.5725221
"Kentville",45.0784875,-64.495212
"Pictou",45.6777203,-62.7082212
"Port Hawkesbury",45.6180851,-61.3574589
"Sydney",46.1382112,-60.1941912
