"City","latitude","longitude"
"Bathurst",47.6208671,-65.6537546
"Campbellton",48.0046634,-66.6765986
"Edmundston",47.3637203,-68.3288825
"Fredericton",45.963233,-66.6432356
"Miramichi",47.030058,-65.4707468
"Moncton",46.0985679,-64.8004265
"Saint Andrews",46.3833994,-62.8531043
"Saint John",45.2787992,-66.0585188
