"City","latitude","longitude"
"Buffalo Narrows",55.863418,-108.480754
"Estevan",49.1428076,-102.991075
"Prince Albert",53.201097,-105.748901
"Regina",50.4479733,-104.6158764
"Saskatoon",52.131802,-106.660767
"Swift Current",50.2849138,-107.7984496
